review_title,review_date,reviewer_country,room_type,party_size,nr_nights,date_stay,review_score,review_great,review_poor,hotel_response_bool
N/A,07-2023,Mexico,Standard Queen Room,Solo traveller,3,07-2023,10,"Toda la experiencia de alojarse en el hotel fue muy agradable. Las instalaciones son de primera, el personal es muy atento, la limpieza es excelente. Se siente un ambiente amigable y colaborativo. Un lugar muy recomendable. Hay una estación de autobus muy cerca o se puede utilizar bicicletas.",Todo me gusto. Regresaria con gusto.,True
N/A,07-2023,Germany,Standard Queen Room,Couple,4,07-2023,10,unkomplziert und aussergewöhnlich,N/A,True
N/A,07-2023,Germany,Standard Queen Room,Couple,2,07-2023,10,"Super modernes Hotel, auch wenn eher junge Leute bzw. viele Studenten dort waren, ist es ein tolles Hotel mit notwendiger Ausstattungen und Möglichkeiten. Sehr nettes Personal. Das Hotel ist sehr zentral, aber trotzdem in einer ruhigen Gegend. Frühstück hatten wir zwar nicht gebucht, aber ist bestimmt genauso empfehlenswert wie das Restaurant und die Bar. Mein Freund und ich waren sehr zufrieden!! Zimmer sauber, modern und hat alles was man braucht. Wenn jemand nach einem Hotel in Groningen fragt, empfehlen wir es definitiv!",N/A,True
N/A,07-2023,Norway,Deluxe Studio,Family,1,07-2023,6.0,Sånn sett greit hotell og beliggenhet.,Litt rart med kjøkkeninnredning uten redskaper. Noe lukt i rommet. Ikke helt rent.,True
N/A,07-2023,Denmark,Standard Queen Room,Solo traveller,1,07-2023,6.0,N/A,"Værelserne virkede som kollegieværelser, og ikke ""rigtige"" hotelværelser. Madrassen var derfor slidt, og der var ikke gjort ordenligt rent.",True
N/A,06-2023,Netherlands,Standard Queen Room,Solo traveller,1,06-2023,6.0,"De locatie, goed centraal",De hygiëne in de kamer.  Er ligt vloerbedekking en dat is niet altijd even fris. Verder de gangen naar de kamers roken erg muf.,True
N/A,07-2023,Germany,Deluxe King Room,Couple,1,07-2023,6.0,"Sehr freundliches Personal,Frühstück hat ein gutes Preis/Leistungsverhältnis.
Das Hotel wirkt modern und stylisch.
Willkommensgruß lag auf dem Zimmer bei Ankunft.","Die Zimmmer sind sehr zweckmäßig eingerichtet.Viele Flecken an den Wänden,Spuren der Vorgänger z.B. am Papierspender,der am Bett steht.
Was nützt mir eine Küchenecke,wenn sie nicht eingerichtet ist?Kein Besteck,kein Topf,keine Teller?Versteh ich nicht wirklich,zumal ich dafür einen Aufpreis gezahlt habe.",True
N/A,07-2023,Germany,Standard Queen Room,Couple,2,07-2023,4.0,Die Lage ist super,"Dreckige zimmer, dreckige Gänge , alles klebt, in den Zimmern komische Gerüche.",True
N/A,07-2023,Netherlands,Standard Queen Room,Family,1,07-2023,6.0,Locatie,"Toilet niet schoon,  vieze vloer bedekking, bedbodem gebroken plank, erg warm, ontbijt matig",True
N/A,07-2023,Denmark,Standard Queen Room,Couple,3,07-2023,10,Alt var i skønneste orden.,N/A,True
N/A,07-2023,Germany,Deluxe King Room,Couple,2,07-2023,10,"Frühstück war bestens. 
Sehr! freundliche und aufmerksame Mitarbeiter*innen.","Vergrößerungsspiegel im Bad fehlte. 
Vielleicht eine Pflanze im Zimmer und Bilder oder etwas, das mehr Gemütlichkeit ausstrahlt.",True
N/A,07-2023,Germany,Standard Queen Room,Couple,3,07-2023,10,"Das nette Personal und dass alles mögliche gemacht wurde, um Wünsche zu erfüllen",Das Kopfkissen war etwas zu hart,True
N/A,07-2023,Germany,Deluxe King Room,Family,1,07-2023,10,"Das Hotel ist klasse! Nettes Personal, tolle Lage und eine riesige Tiefgarage direkt nebenan. Außerdem Tischtennisplatte und Kicker. Welches Hotel bietet sowas seinen Gästen?! Wir kommen auf jeden Fall wieder!!!",N/A,True
N/A,07-2023,Germany,Standard Queen Room,Group,2,07-2023,3.0,"Empfang, Lage, Freundlichkeit des Personals","Sauberkeit im Zimmer, speziell im Badezimmer. Essensreste in der Küchenzeile in den Schränken und im Eisfach",True
N/A,07-2023,Germany,Standard Queen Room,Couple,3,07-2023,10,"Sehr gepflegte und saubere Zimmer sowie bequeme Betten, abdunkelnde Vorhänge, Begrüßungsgeschenke in Form von einer handgeschriebenen Karte, jedes mal nach Reinigung der Zimmer frisches Wasser (Wasser im Tetrapack) im Zimmer , superfreundliches Personal, Stadtzentrum in wenigen Minuten zu Fuß perfekt erreichbar und Hotel dennoch in einer ruhigen Lage","Dusche offen (keine Glasfront oder ein Vorhang, Wasser spritzt somit sehr ans Waschbecken und die darüber befindliche Ablage), Grünspan (Rost) am Waschbecken/Wasserhahn",True
N/A,07-2023,Germany,Standard Queen Room,Group,2,07-2023,10,"Lage top, Frühstück top, Mitarbeiter sehr freundlich",N/A,True
N/A,07-2023,Germany,Standard Queen Room,Group,2,07-2023,4.0,"Sehr freundliches Personal und Lage war auch wirklich gut. Parkhaus direkt nebenan. 
Lebensmittel beim Frühstück vollkommen ok und Auswahl in Ordnung.","Aufgrund einer Großveranstaltung sehr hohe Belegung/Auslastung. Vermutlich zu hoch. 
Personal super freundlich, aber leider total überfordert mit der Masse an Gästen. 
Frühstück war schlecht organisiert. 
- Preis Aufschlag für Großveranstaltung unverschämt und nicht gerechtfertigt und leider nichts dafür bekommen 
- Badezimmer nicht gereinigt und Toilette undicht 
- sehr staubig 
- sehr stickig und Klimaanlage funktionierte nur bedingt
- TV nicht nutzbar 
- verunreinigter Teppichboden 
- nur 1 Nachttisch-Schränkchen
- keine Kaffeemaschine 
- Flure sehr eng und stickig und auch schmutziger Teppichboden 
- Silberfischchen 
- Wasser wurde nicht aufgefüllt 
- Begrüßungsgeschenk wie bei den anderen Gästen der Veranstaltung nicht vorhanden 
Leider bisher das schlecht organisierteste und schmutzigste Hotel, welches ich bisher besucht habe. Sehr schade für die sehr netten Mitarbeiter.",True
N/A,07-2023,Netherlands,Deluxe King Room,Couple,2,07-2023,10,"De vriendelijkheid van het personeel. De locatie van het hotel is perfect dicht bij het centrum. Er ligt vlakbij een goedkope (€13,50 p/d) parkeergarage. Personeel zo opgeleid dat ze overal inzetbaar kunnen zijn. Goede sfeer met een gemêleerd publiek (studenten, werknemers en toeristen) en een uitstekend ontbijt!",Aan iedere zijde is 1 lift voor 9 etages. Soms lang wachten maar uiteraard niet onoverkomelijk.,True
N/A,07-2023,Belgium,Deluxe King Room,Couple,1,07-2023,10,Het strakke moderne disign van het hotel was super. Je zit tussen de studenten en het sociale is er echt merkbaar.,N/A,True
N/A,07-2023,Germany,Deluxe Studio,Group,1,07-2023,3.0,Modernes Design,"Schlechte Ausstattung, kein Föhn, Kaffeemaschine ohne Tassen, Pantry völlig ohne Geschirr, Kühlschrank sehr dreckig, schlechtes Frühstück mit Schimmel am Brot",True
N/A,07-2023,Ukraine,Standard Queen Room,Family,1,07-2023,10,Вже другий раз тут. Все на найвищому рівні.,N/A,True
N/A,06-2023,Netherlands,Deluxe King Room,Couple,1,06-2023,10,De jeugdige atmosfeer.,De warme gangen.,True
N/A,06-2023,Germany,Deluxe King Room,Couple,1,06-2023,6.0,"Personal sehr freundlich
Gute Lage zur Stadt, Parkhaus direkt nebenan","Klimaanlage nicht in Funktion [auf 3° unter Außentemperatur gesperrt], sehr Stickig, Fenster nur auf Kipp möglich.
Falsche Zimmerschlüssel, danach falsches Zimmer [ohne Ausstattung wie Fernseher usw]
Neues Zimmer zum Innenhof [abends laut] , dafür ohne Kaffee...
Hotel war im Winter ok, im Sommer weniger geeignet",True
N/A,06-2023,Netherlands,Deluxe King Room,Solo traveller,1,06-2023,10,"Super vriendelijk personeel en een hele fijne, rustige kamer!",Er viel eigenlijk niks tegen,True
N/A,06-2023,Netherlands,Deluxe Studio,Family,1,06-2023,6.0,Mooi sfeer,"Het was de eerste keer een kamer met een kitchenette, het was in verdieping  2 eerder was ik meerdere keer in de boven verdiepingen in mooiere kamers zonder kitchenette.",True
N/A,06-2023,Brazil,Standard Queen Room,Family,7,06-2023,10,"Excelente custo benefício, ótima localização.","O box do banheiro não era completamente fechado, então quando vc toma banho acaba molhando todo o banheiro.",True
N/A,05-2023,Germany,Deluxe Studio,Couple,2,05-2023,4.0,nettes Personal,Preis-Leistung passt nicht. dafür kann man dafür kann man auch in Hamburg das Empire Riverside buchen.,True
N/A,05-2023,Switzerland,Deluxe King Room,Family,2,05-2023,10,"Lage 
Frühstück 
Personal",N/A,True
N/A,05-2023,Netherlands,Deluxe King Room,Group,2,05-2023,10,"Prima hotel, heel gezellig en veel jonge mensen met verschillende nationaliteiten. Dichtbij het centrum en prima bereikbaar.",Eigenlijk niets.,True
N/A,05-2023,Norway,Deluxe King Room,Couple,3,05-2023,10,"Betjening, konsept og atmosfære var 10 av 10
15min gange fra Grote Markt, og 5 min på sykkel.(som vi leide på hotellet)","Dusjen tok ikke unna vannet raskt nok.
En heis, og den var det litt sånn ""Titanic feeling"" over... holder denne en helt opp?
(Men trappene var bra da!)",True
N/A,05-2023,Germany,Deluxe King Room,Family,3,05-2023,4.0,N/A,"Das Zimmer war nicht sauber (nicht gesaugt, staubig, überall Fingerabdrücke). Besonders die Küche war ungepflegt und voller Fettrückstände. 
Das Duschwasser floss nicht ab. Wir bekamen zusätzliche Handtücher, damit das Wasser nicht ins Zimmer fließt. Kaffee und Tee wurde nie aufgefüllt ... besorgten wir täglich am Empfang. Nur an einer Bettseite war eine Lampe und eine Ablage.",True
N/A,05-2023,Netherlands,Standard Queen Room,Solo traveller,3,05-2023,6.0,"Parkeergarage (betaald) naast het hotel. 
Loop afstand van het centrum. 
Leuke sfeer.","Vies wijnglas in de keuken. Vies glas met tandpasta in de badkamer. 
Wasbak niet schoon gemaakt. 
Plakkerige vlekken op de zijkant van de kast het het nachtkastje.",True
N/A,05-2023,Germany,Standard Queen Room,Couple,2,05-2023,5.0,Die Aufenthaltsräume,"das Zimmer war schmutzig, Silberfischchen, sehr staubig, Kaffee Kapseln waren leer,",True
N/A,05-2023,Switzerland,Deluxe King Room,Couple,2,05-2023,10,"Freundliches und kundenorientiertes Personal.
Grosse, moderne Zimmer.
Zentrale aber ruhige Lage.
Reichhaltiges Frühstück.",N/A,True
N/A,05-2023,Germany,Deluxe King Room,Couple,2,05-2023,10,"Alles! Es hat von vorne bis hinten alles gepasst. das Bett war so unglaublich gemütlich. Personal war sehr sehr freundlich, das gym war für ein paar Tage auf jeden Fall ausreichend. alles im ganzen ein tolles Hotel. wir kommen wieder !",N/A,True
N/A,05-2023,Netherlands,Standard Queen Room,Couple,2,05-2023,4.0,Ontbijt,Verlichting een schemerlamp’ uitzicht en om 7 uur in de ochtend werd op het aanliggend plat dak de radio aan gezet  en werkzaamheden verricht.,True
N/A,05-2023,Netherlands,Deluxe King Room,Couple,1,05-2023,10,De vriendelijk heid,N/A,True
N/A,05-2023,Netherlands,Deluxe King Room,Couple,1,05-2023,10,"vlak bij het centrum ,parkeergarage naast het hotel",N/A,True
N/A,05-2023,Netherlands,Standard Queen Room,Group,1,05-2023,10,Leuk hotel met veel faciliteiten.,Kleine televisie en de kamer kan wel iets meer sfeer gebruiken,True
N/A,05-2023,France,Standard Queen Room,Couple,2,05-2023,10,Un hôtel atypique qui a tout son charme. Dispose d'un bar / restaurant au rdc vraiment délicieux. Emplacement parfait pour découvrir la ville.,"Cela ne dépend pas de l'hôtel mais il faut prévoir un budget parking car tout est payant autour. A titre d'exemple, nous sommes restés 2 nuits / 3 jours et avons payé 27 €.",True
N/A,04-2023,France,Deluxe King Room,Couple,2,04-2023,10,Un emplacement parfait dans le centre ville. La chambre était spacieuse et très agréable.,N/A,True
N/A,05-2023,Netherlands,Standard Queen Room,Solo traveller,1,05-2023,1.0,Parkeergarage onder het hotel,"Kreeg update omdat na 16.00 mijn kamer nog niet klaar was. Gang bij binnenkomst kamer was gangetje met keukentje waar allemaal vieze rommel stond. Vieze kamer, alles stoffig , pedaal emmertje in douche was niet geleegd, geen douche body soap,   maar 2 flacons shampoo en ook nog vreselijk vieze houder vol stof en zeep resten. 
Bij receptie niet echt een reactie. Sinds november 4 x geweest maar hierna nooit meer",True
N/A,05-2023,Netherlands,Deluxe King Room,Group,1,05-2023,10,"De originaliteit, de leuke verrassingen,  het vriendelijke personeel, het ontbijt en diner!",Eigenlijk helemaal niets!,True
N/A,04-2023,France,Deluxe King Room,Family,5,04-2023,10,Le cadre agréable et la proximité du centre ville,La seule critique c'est un éclairage insuffisant dans la salle de bain,True
N/A,02-2023,Germany,Deluxe King Room,Solo traveller,2,02-2023,10,"Zimmer war sauber und geräumig, der workspace war top und Frühstück war ebenso super. Immer wieder gerne.",Alles tiptop,True
N/A,04-2023,Germany,Deluxe King Room,Couple,2,04-2023,6.0,"Der angenehme Aufenthaltsbereich im Erdgeschoss und dass es nun einen Restaurationsbetrieb gibt. Das Zimmer war schlicht, aber sauber.","Es wurde an Toilettenpapier gespart. Beim Frühstücksbüffet musste man dauernd nachhaken, damit es gefüllt wurde. Die Teller auf dem Buffet waren ständig leer. es fehlten Besteck und Servietten.",True
N/A,04-2023,Germany,Standard Queen Room,Couple,2,04-2023,4.0,Gute Lage! Unser erstes Zimmer (Standard) war sehr enttäuschend. Nach Beschwerde wurde umgehend reagiert und wir haben für die zweite Nacht ein neues Zimmer (Deluxe) erhalten. Dies war zufriedenstellend.,"Im Standard Zimmer war die Matratze dermaßen durchgelegen, dass man die ganze Nacht in einem Loch lag ohne chance sich zu drehen. Schlafen unmöglich. Die Dusche sah gut aus, war aber ohne Heizung und der Fußboden entsprechend sehr kalt. Zudem lief das Wasser nicht zum Abfluss, sondern Richtung Zimmertür. Das Deluxe Zimmer war ok. Allerdings würde ich bei 124 Euro pro Nacht auch im Standard Zimmer eine vernünftige Matratze erwarten. Letztlich ist es ein Studentenwohnheim mit Hostal Qualität aber 4-Sternehotel-Preisen.",True
N/A,04-2023,Netherlands,Standard Queen Room,Couple,1,04-2023,10,Alles,Niets,True
N/A,03-2023,Turkey,Standard Queen Room,Couple,1,03-2023,10,"Burada inanılmaz bir iş başarmışlar! Hem konaklama, hem de özellikle gençler için bir sosyal tesis. Çalışanlar daima kibar, ilgili ve dost canlısı. Restoran ve bar alanı oldukça konforlu, fiyatlar makul. Burada konaklarken insan dışarı çıkmak istemiyor :) Mutlaka yeniden ziyaret edeceğim!",N/A,True
N/A,03-2023,Italy,Standard Queen Room,Couple,3,03-2023,10,"Albergo davvero accogliente, ragazzi tutti super disponibili, pulito, a pochissimi passi dal centro, colazione ottima. Devo dire davvero solo cose positive, bravissimi tutti",Nulla,True
N/A,03-2023,Germany,Deluxe Studio,Couple,2,03-2023,6.0,"Das Zimmer war auf Hostel Niveau; keine Heizung im Bad; Zimmer nur über laute Klimaanlage zu heizen; spartanisch ausgestattet; nur eine Lampe am Bett, die aber fürs Lesen ungeeignet war (gelbes Licht); TV Fernbedienung funktionierte nicht; Zimmersafe hatte leere Batterien; WLAN unendlich langsam; 2 ungemütliche Stühle.","Der Service war sehr hilfsbereit und freundlich; das Frühstück war anständig und frisch; die Idee, studentisches Leben in das Hotel zu integrieren, ist gut. Als Gast freier Eintritt im Museum, das ausgezeichnet war.",True
N/A,03-2023,Germany,Deluxe Studio,Couple,2,03-2023,5.0,Frühstück und Lage war gut!!,"Keine Heizung im Bad ,Sauber war nicht ok 
Einrichtung der Zimmer zu dunkel  
Teppichboden nah ja??",True
N/A,03-2023,Netherlands,Deluxe King Room,Family,2,03-2023,10,"Heel leuk concept, top personeel, goed ontbijt en leuk en lekker restaurant. Fijne sfeer.",N/A,True
N/A,03-2023,Netherlands,Deluxe King Room,Couple,2,03-2023,6.0,N/A,Het is meer ingericht voor jongeren. De kamers zijn standaard en niet schoon.,True
N/A,03-2023,Ukraine,Deluxe King Room,Family,1,03-2023,10,"Кваліфікований персонал, свіжий ремонт",Відсутність тапочок,True
N/A,03-2023,Netherlands,Standard Queen Room,Group,2,03-2023,10,de omgeving,alles ok,True
N/A,03-2023,Germany,Deluxe King Room,Group,2,03-2023,10,"Das Personal war sehr freundlich, die Zimmer groß und sauber. Das dazu gebuchte Frühstück hatte eine gute Auswahl. In ca. 10 Minuten ist man in der Stadt.",N/A,True
N/A,03-2023,Netherlands,Standard Queen Room,Couple,2,03-2023,10,"Social Hub ligt op loopafstand van het centrum, parkeergarage naast het hotel. Zeer vriendelijke medewerkers en een uitstekend ontbijt.",Eigenlijk was alles uitstekend maar een nachtkastje aan beide zijden van het bed zou prettig zijn. Op onze kamer was er slechts één.,True
N/A,03-2023,Netherlands,Standard Queen Room,Group,1,03-2023,10,"Mooie look en styling. 
Vriendelijk personeel en we konden tot laat inchecken en tot 12:00 uitchecken. 
Nette kamers met lekkere bedden.",-,True
N/A,03-2023,Netherlands,Deluxe King Room,Couple,1,03-2023,10,"fijne ontvangst, fijne kamer, fijne sfeer",niets,True
N/A,03-2023,Turkey,Standard Queen Room,Family,2,03-2023,10,"Çalışanlar, temizlik, konum, otobüs duraklarına ulaşım",N/A,False
N/A,02-2023,Netherlands,Deluxe King Room,Couple,1,02-2023,10,De locatie en het hotel in zijn algemeen,Helemaal niets,True
N/A,02-2023,Netherlands,Standard Queen Room,Solo traveller,3,02-2023,10,"Energieke en vriendelijke medewerkers, frisse moderne sfeer, lekker eten in het restaurant.",N/A,True
N/A,02-2023,Germany,Deluxe King Room,Couple,2,02-2023,10,Alles war wunderbar.,Nichts,False
